iteration 	 relres
0 	 1.000000e+00
1 	 5.468371e-01
2 	 4.119695e-01
3 	 2.972979e-01
4 	 3.379969e-01
5 	 2.207843e-01
6 	 1.858961e-01
7 	 1.746129e-01
8 	 9.641590e-02
9 	 8.577376e-02
10 	 5.763246e-02
11 	 9.580858e-02
12 	 4.963038e-02
13 	 2.437105e-02
14 	 2.397630e-02
15 	 1.773406e-02
16 	 1.572619e-02
17 	 2.512958e-02
18 	 1.091119e-02
19 	 9.915993e-03
20 	 8.572730e-03
21 	 8.829319e-03
22 	 6.481316e-03
23 	 6.434615e-03
24 	 6.307162e-03
25 	 5.598329e-03
26 	 9.757355e-03
27 	 5.319514e-03
28 	 9.393943e-03
29 	 4.686445e-02
30 	 2.208280e-02
31 	 2.092320e-02
32 	 5.400435e-03
33 	 2.310410e-03
34 	 1.889215e-03
35 	 1.785011e-03
36 	 1.676631e-03
37 	 1.003399e-03
38 	 8.104220e-04
39 	 7.921541e-04
40 	 5.577270e-04
41 	 4.977611e-04
42 	 4.265665e-04
43 	 3.748398e-04
44 	 4.012537e-04
45 	 2.846814e-04
46 	 2.694445e-04
47 	 2.667492e-04
48 	 2.287466e-04
49 	 3.197681e-04
50 	 2.229723e-04
51 	 2.234169e-04
52 	 1.415764e-04
53 	 9.040811e-05
54 	 7.968867e-05
55 	 7.347622e-05
56 	 6.622202e-05
57 	 6.044972e-05
58 	 5.638055e-05
59 	 4.915285e-05
60 	 4.604396e-05
61 	 3.593566e-05
62 	 3.257634e-05
63 	 2.219320e-05
64 	 2.003716e-05
65 	 1.797535e-05
66 	 1.687662e-05
67 	 1.671312e-05
68 	 1.504091e-05
69 	 1.361004e-05
70 	 1.249274e-05
71 	 1.224991e-05
72 	 8.736727e-06
73 	 9.001484e-06
74 	 1.225661e-05
75 	 6.668118e-06
76 	 6.266504e-06
77 	 4.991586e-06
78 	 5.497556e-06
79 	 4.071680e-06
80 	 3.891567e-06
81 	 4.179390e-06
82 	 3.527377e-06
83 	 3.010650e-06
84 	 2.563136e-06
85 	 2.452660e-06
86 	 2.427564e-06
87 	 2.040804e-06
88 	 2.136958e-06
89 	 2.034623e-06
90 	 2.161625e-06
91 	 4.119450e-06
92 	 1.823329e-06
93 	 1.786220e-06
94 	 1.625180e-06
95 	 1.711306e-06
96 	 1.521155e-06
97 	 1.441086e-06
98 	 1.396760e-06
99 	 1.357747e-06
100 	 1.351975e-06
101 	 1.272298e-06
102 	 1.216556e-06
103 	 1.200945e-06
104 	 1.143714e-06
105 	 1.008600e-06
106 	 7.072432e-07
107 	 4.829309e-07
108 	 5.420791e-07
109 	 3.583638e-07
110 	 3.462134e-07
111 	 8.306430e-07
112 	 4.263778e-07
113 	 4.180176e-07
114 	 3.845257e-07
115 	 3.796640e-07
116 	 3.849310e-07
117 	 2.449946e-07
118 	 1.805359e-07
119 	 1.740879e-07
120 	 1.604310e-07
121 	 1.551009e-07
122 	 1.572093e-07
123 	 1.310764e-07
124 	 1.256524e-07
125 	 1.222577e-07
126 	 1.210645e-07
127 	 1.202443e-07
128 	 1.211018e-07
129 	 1.375787e-07
130 	 7.865353e-08
131 	 9.372540e-08
132 	 8.922671e-08
133 	 8.681509e-08
134 	 9.077341e-08
135 	 7.893489e-08
136 	 6.936729e-08
137 	 5.489480e-08
138 	 5.628300e-08
139 	 4.674675e-08
140 	 1.323694e-07
141 	 3.178786e-08
142 	 3.149185e-08
143 	 2.902916e-08
144 	 2.796015e-08
145 	 2.788724e-08
146 	 2.752358e-08
147 	 2.421015e-08
148 	 2.435133e-08
149 	 2.220030e-08
150 	 2.172749e-08
151 	 1.847118e-08
152 	 1.366640e-08
153 	 1.259546e-08
154 	 1.226053e-08
155 	 1.157184e-08
156 	 1.103479e-08
157 	 1.093411e-08
158 	 1.072970e-08
159 	 1.075715e-08
160 	 1.107643e-08
161 	 1.038204e-08
162 	 1.000075e-08
