iteration 	 relres
0 	 1.000000e+00
1 	 3.685733e-01
2 	 2.568936e-01
3 	 1.109792e-01
4 	 7.025635e-02
5 	 8.302916e-02
6 	 2.285234e-02
7 	 1.850710e-02
8 	 1.292938e-02
9 	 8.247898e-03
10 	 4.892233e-03
11 	 3.124119e-03
12 	 2.622720e-03
13 	 2.125756e-03
14 	 1.754155e-03
15 	 1.357288e-03
16 	 1.090969e-03
17 	 1.076461e-03
18 	 7.545314e-04
19 	 7.035522e-04
20 	 6.192122e-04
21 	 5.107469e-04
22 	 7.924087e-04
23 	 2.485985e-04
24 	 2.175331e-04
25 	 2.060074e-04
26 	 1.682019e-04
27 	 1.484192e-04
28 	 9.766585e-05
29 	 8.343604e-05
30 	 9.684752e-05
31 	 5.925531e-05
32 	 5.262285e-05
33 	 3.766242e-05
34 	 3.553366e-05
35 	 3.162048e-05
36 	 2.611481e-05
37 	 2.741204e-05
38 	 2.375693e-05
39 	 2.393446e-05
40 	 2.543381e-05
41 	 3.794336e-05
42 	 3.153392e-05
43 	 3.129499e-05
44 	 3.039926e-05
45 	 3.042580e-05
46 	 2.914177e-05
47 	 2.953220e-05
48 	 3.382549e-05
49 	 1.653636e-05
50 	 1.085991e-05
51 	 1.051361e-05
52 	 9.424545e-06
53 	 9.395514e-06
54 	 1.111884e-05
55 	 1.209591e-05
56 	 1.100976e-05
57 	 1.287005e-05
58 	 8.157792e-06
59 	 7.467074e-06
60 	 7.275318e-06
61 	 6.467347e-06
62 	 5.833045e-06
63 	 6.238547e-06
64 	 4.553547e-06
65 	 4.296985e-06
66 	 4.118950e-06
67 	 5.604831e-06
68 	 4.837929e-06
69 	 3.548920e-06
70 	 3.772460e-06
71 	 3.539952e-06
72 	 2.412543e-06
73 	 2.256631e-06
74 	 2.216650e-06
75 	 2.208109e-06
76 	 2.123888e-06
77 	 2.123504e-06
78 	 2.093802e-06
79 	 1.843065e-06
80 	 1.594473e-06
81 	 1.519206e-06
82 	 1.453446e-06
83 	 1.484919e-06
84 	 1.351210e-06
85 	 1.039350e-06
86 	 1.891161e-06
87 	 1.951616e-06
88 	 1.993975e-06
89 	 1.915970e-06
90 	 1.238652e-06
91 	 1.188149e-06
92 	 1.258352e-06
93 	 7.791717e-07
94 	 5.157689e-07
95 	 4.915536e-07
96 	 4.587714e-07
97 	 4.283012e-07
98 	 4.129289e-07
99 	 3.928774e-07
100 	 4.066419e-07
101 	 4.007417e-07
102 	 3.496408e-07
103 	 3.503526e-07
104 	 3.511804e-07
105 	 3.118034e-07
106 	 2.949192e-07
107 	 2.897359e-07
108 	 2.804925e-07
109 	 2.790388e-07
110 	 2.741485e-07
111 	 2.695158e-07
112 	 2.683091e-07
113 	 2.651546e-07
114 	 2.694782e-07
115 	 2.682456e-07
116 	 2.794668e-07
117 	 2.566033e-07
118 	 2.409132e-07
119 	 8.963555e-08
120 	 1.314528e-07
121 	 1.394133e-07
122 	 1.534788e-07
123 	 1.313004e-07
124 	 1.113822e-07
125 	 1.448545e-07
126 	 9.592540e-08
127 	 8.638312e-08
128 	 8.209316e-08
129 	 6.861488e-08
130 	 6.155253e-08
131 	 6.154031e-08
132 	 5.890139e-08
133 	 6.774225e-08
134 	 5.636309e-08
135 	 5.876125e-08
136 	 4.741067e-08
137 	 4.363284e-08
138 	 4.232014e-08
139 	 4.326373e-08
140 	 3.627323e-08
141 	 3.287240e-08
142 	 2.697465e-08
143 	 2.690100e-08
144 	 2.663261e-08
145 	 2.507395e-08
146 	 2.494793e-08
147 	 2.491093e-08
148 	 2.432230e-08
149 	 2.362113e-08
150 	 2.231116e-08
151 	 2.213856e-08
152 	 2.114853e-08
153 	 2.123818e-08
154 	 1.685115e-08
155 	 1.646674e-08
156 	 1.788975e-08
157 	 1.889360e-08
158 	 1.291563e-08
159 	 1.294904e-08
160 	 1.252900e-08
161 	 1.248935e-08
162 	 1.215092e-08
163 	 1.238558e-08
164 	 1.119379e-08
165 	 1.051653e-08
166 	 1.265852e-08
