iteration 	 relres
0 	 1.000000e+00
1 	 3.685733e-01
2 	 2.568936e-01
3 	 1.109792e-01
4 	 7.025635e-02
5 	 8.302916e-02
6 	 2.285234e-02
7 	 1.850710e-02
8 	 1.292938e-02
9 	 8.247898e-03
10 	 4.892233e-03
11 	 3.124120e-03
12 	 2.622720e-03
13 	 2.125755e-03
14 	 1.754155e-03
15 	 1.357288e-03
16 	 1.090969e-03
17 	 1.076460e-03
18 	 7.545311e-04
19 	 7.035521e-04
20 	 6.192109e-04
21 	 5.107384e-04
22 	 7.924731e-04
23 	 2.486769e-04
24 	 2.175686e-04
25 	 2.059817e-04
26 	 1.682362e-04
27 	 1.485900e-04
28 	 9.771311e-05
29 	 8.345363e-05
30 	 9.711660e-05
31 	 5.937710e-05
32 	 5.244913e-05
33 	 3.761431e-05
34 	 3.533124e-05
35 	 3.183407e-05
36 	 2.560403e-05
37 	 2.505515e-05
38 	 2.377291e-05
39 	 2.415483e-05
40 	 2.811214e-05
41 	 3.827377e-05
42 	 3.256505e-05
43 	 3.258173e-05
44 	 3.006434e-05
45 	 2.755321e-05
46 	 2.624704e-05
47 	 2.652263e-05
48 	 3.010308e-05
49 	 1.907730e-05
50 	 1.380139e-05
51 	 1.376525e-05
52 	 1.212361e-05
53 	 1.229929e-05
54 	 1.305104e-05
55 	 1.367768e-05
56 	 1.153936e-05
57 	 1.364839e-05
58 	 8.506219e-06
59 	 7.945516e-06
60 	 7.708956e-06
61 	 6.682196e-06
62 	 5.908602e-06
63 	 6.424588e-06
64 	 4.791529e-06
65 	 4.752931e-06
66 	 4.558770e-06
67 	 6.438046e-06
68 	 4.985125e-06
69 	 3.654766e-06
70 	 5.235721e-06
71 	 4.995733e-06
72 	 2.430565e-06
73 	 2.210428e-06
74 	 2.174226e-06
75 	 2.159538e-06
76 	 2.081275e-06
77 	 2.068591e-06
78 	 2.034131e-06
79 	 1.810612e-06
80 	 1.509781e-06
81 	 1.459373e-06
82 	 1.428753e-06
83 	 1.484905e-06
84 	 1.410159e-06
85 	 1.123111e-06
86 	 2.126127e-06
87 	 2.467268e-06
88 	 2.139534e-06
89 	 2.597229e-06
90 	 1.312110e-06
91 	 1.488619e-06
92 	 1.140071e-06
93 	 8.340044e-07
94 	 5.822680e-07
95 	 5.544591e-07
96 	 5.726529e-07
97 	 5.109092e-07
98 	 5.040305e-07
99 	 4.865902e-07
100 	 4.854119e-07
101 	 4.346053e-07
102 	 4.376999e-07
103 	 4.432511e-07
104 	 4.809909e-07
105 	 4.132990e-07
106 	 3.506452e-07
107 	 3.327905e-07
108 	 3.223956e-07
109 	 3.146619e-07
110 	 3.128789e-07
111 	 3.137406e-07
112 	 3.045026e-07
113 	 3.015669e-07
114 	 3.069744e-07
115 	 3.099020e-07
116 	 3.094177e-07
117 	 2.947601e-07
118 	 2.887651e-07
119 	 1.783652e-07
120 	 1.524384e-07
121 	 1.569170e-07
122 	 1.536087e-07
123 	 1.363780e-07
124 	 1.324008e-07
125 	 2.086996e-07
126 	 1.532466e-07
127 	 1.050751e-07
128 	 9.325318e-08
129 	 9.091723e-08
130 	 8.870261e-08
131 	 8.371885e-08
132 	 8.539965e-08
133 	 8.787879e-08
134 	 1.187523e-07
135 	 6.683978e-08
136 	 6.871048e-08
137 	 6.550221e-08
138 	 6.148888e-08
139 	 6.037593e-08
140 	 6.110001e-08
141 	 4.679655e-08
142 	 4.671854e-08
143 	 4.126811e-08
144 	 4.077419e-08
145 	 3.821310e-08
146 	 3.773936e-08
147 	 4.497041e-08
148 	 3.618455e-08
149 	 3.329603e-08
150 	 3.288469e-08
151 	 3.180535e-08
152 	 2.982916e-08
153 	 2.950540e-08
154 	 4.372014e-08
155 	 2.167730e-08
156 	 2.015373e-08
157 	 1.887419e-08
158 	 1.787284e-08
159 	 1.787745e-08
160 	 1.764804e-08
161 	 1.747545e-08
162 	 1.776869e-08
163 	 1.647893e-08
164 	 1.639606e-08
165 	 1.460634e-08
166 	 2.261875e-08
167 	 9.952038e-09
168 	 9.395175e-09
169 	 9.178593e-09
170 	 9.113038e-09
171 	 9.115867e-09
172 	 9.200727e-09
173 	 9.202931e-09
174 	 9.248194e-09
175 	 8.481105e-09
