          x1          x2          x3     azimuth         dip         iRx
  -10000.0000       0.00000000       1000.00000               0           0           1
  -9968.75000       0.00000000       1000.00000               0           0           2
  -9937.50000       0.00000000       1000.00000               0           0           3
  -9906.25000       0.00000000       1000.00000               0           0           4
  -9875.00000       0.00000000       1000.00000               0           0           5
  -9843.75000       0.00000000       1000.00000               0           0           6
  -9812.50000       0.00000000       1000.00000               0           0           7
  -9781.25000       0.00000000       1000.00000               0           0           8
  -9750.00000       0.00000000       1000.00000               0           0           9
  -9718.75000       0.00000000       1000.00000               0           0          10
  -9687.50000       0.00000000       1000.00000               0           0          11
  -9656.25000       0.00000000       1000.00000               0           0          12
  -9625.00000       0.00000000       1000.00000               0           0          13
  -9593.75000       0.00000000       1000.00000               0           0          14
  -9562.50000       0.00000000       1000.00000               0           0          15
  -9531.25000       0.00000000       1000.00000               0           0          16
  -9500.00000       0.00000000       1000.00000               0           0          17
  -9468.75000       0.00000000       1000.00000               0           0          18
  -9437.50000       0.00000000       1000.00000               0           0          19
  -9406.25000       0.00000000       1000.00000               0           0          20
  -9375.00000       0.00000000       1000.00000               0           0          21
  -9343.75000       0.00000000       1000.00000               0           0          22
  -9312.50000       0.00000000       1000.00000               0           0          23
  -9281.25000       0.00000000       1000.00000               0           0          24
  -9250.00000       0.00000000       1000.00000               0           0          25
  -9218.75000       0.00000000       1000.00000               0           0          26
  -9187.50000       0.00000000       1000.00000               0           0          27
  -9156.25000       0.00000000       1000.00000               0           0          28
  -9125.00000       0.00000000       1000.00000               0           0          29
  -9093.75000       0.00000000       1000.00000               0           0          30
  -9062.50000       0.00000000       1000.00000               0           0          31
  -9031.25000       0.00000000       1000.00000               0           0          32
  -9000.00000       0.00000000       1000.00000               0           0          33
  -8968.75000       0.00000000       1000.00000               0           0          34
  -8937.50000       0.00000000       1000.00000               0           0          35
  -8906.25000       0.00000000       1000.00000               0           0          36
  -8875.00000       0.00000000       1000.00000               0           0          37
  -8843.75000       0.00000000       1000.00000               0           0          38
  -8812.50000       0.00000000       1000.00000               0           0          39
  -8781.25000       0.00000000       1000.00000               0           0          40
  -8750.00000       0.00000000       1000.00000               0           0          41
  -8718.75000       0.00000000       1000.00000               0           0          42
  -8687.50000       0.00000000       1000.00000               0           0          43
  -8656.25000       0.00000000       1000.00000               0           0          44
  -8625.00000       0.00000000       1000.00000               0           0          45
  -8593.75000       0.00000000       1000.00000               0           0          46
  -8562.50000       0.00000000       1000.00000               0           0          47
  -8531.25000       0.00000000       1000.00000               0           0          48
  -8500.00000       0.00000000       1000.00000               0           0          49
  -8468.75000       0.00000000       1000.00000               0           0          50
  -8437.50000       0.00000000       1000.00000               0           0          51
  -8406.25000       0.00000000       1000.00000               0           0          52
  -8375.00000       0.00000000       1000.00000               0           0          53
  -8343.75000       0.00000000       1000.00000               0           0          54
  -8312.50000       0.00000000       1000.00000               0           0          55
  -8281.25000       0.00000000       1000.00000               0           0          56
  -8250.00000       0.00000000       1000.00000               0           0          57
  -8218.75000       0.00000000       1000.00000               0           0          58
  -8187.50000       0.00000000       1000.00000               0           0          59
  -8156.25000       0.00000000       1000.00000               0           0          60
  -8125.00000       0.00000000       1000.00000               0           0          61
  -8093.75000       0.00000000       1000.00000               0           0          62
  -8062.50000       0.00000000       1000.00000               0           0          63
  -8031.25000       0.00000000       1000.00000               0           0          64
